Date,Open,High,Low,Close,Adj Close,Volume
07-12-2009,8.25,8.61,8.23,8.52,8.52,45635400
08-12-2009,8.43,8.82,8.34,8.67,8.67,41620000
09-12-2009,8.81,8.87,8.55,8.71,8.71,30324700
10-12-2009,8.82,8.9,8.57,8.58,8.58,26101900
11-12-2009,8.61,8.69,8.43,8.64,8.64,20052900
14-12-2009,8.81,8.84,8.58,8.68,8.68,24243900
15-12-2009,8.65,9.08,8.57,8.82,8.82,30510200
16-12-2009,9.14,9.39,8.82,9.15,9.15,43161900
17-12-2009,9.03,9.3,9.0,9.12,9.12,19954300
18-12-2009,9.0,9.12,8.93,9.05,9.05,15956300
21-12-2009,9.09,9.59,9.01,9.53,9.53,30422500
22-12-2009,9.55,9.76,9.29,9.43,9.43,26229900
23-12-2009,9.45,9.69,9.42,9.67,9.67,19547900
24-12-2009,9.79,9.95,9.78,9.91,9.91,11332000
28-12-2009,9.97,10.04,9.71,9.83,9.83,17266400
29-12-2009,9.81,9.91,9.44,9.75,9.75,20986000
30-12-2009,9.63,9.83,9.58,9.72,9.72,14407600
31-12-2009,9.75,9.77,9.63,9.68,9.68,9396500
04-01-2010,9.79,9.9,9.68,9.7,9.7,18748700
05-01-2010,9.71,9.9,9.68,9.71,9.71,22145700
06-01-2010,9.68,9.76,9.55,9.57,9.57,18643400
07-01-2010,9.51,9.55,9.18,9.47,9.47,26806800
08-01-2010,9.37,9.47,9.29,9.43,9.43,13752800
11-01-2010,9.38,9.44,9.08,9.14,9.14,23700100
12-01-2010,8.89,8.92,8.52,8.65,8.65,33387100
13-01-2010,8.71,9.2,8.55,9.15,9.15,32741900
14-01-2010,9.18,9.26,8.92,9.0,9.0,22556600
15-01-2010,9.13,9.19,8.8,8.84,8.84,34336600
19-01-2010,8.84,9.21,8.84,9.01,9.01,24866200
20-01-2010,8.98,9.0,8.76,8.87,8.87,22813600
